Event Name,Event Type,Event Description,Calendar,All Day,Public/private,Reported Count,Start Date,End Date,Created By,URL,Image URL
The Money Game ,Sale,"The world of college sports changed with the recent implementation of NIL (name, image, and likeness) rights, allowing college athletes to finally make money from sponsors while they are in school. Shaquille O'Neal's six-part docuseries looks at the impact of the new ruling on some of LSU's biggest athletes, including gymnast Olivia Dunne, basketball player Angel Reese, and football star Jayden Daniels. [Trailer]",sephora Calendar,No,Public,0,2024-09-06,2024-09-07,,https://www.tvguide.com/news/new-on-amazon-prime-video/,https://www.tvguide.com/a/img/resize/3559a02d0f9ee78edc84aa243ec28623a0a0a4ea/hub/2023/12/14/8438a5ff-ba4a-41a7-951f-842fafaa0856/perc.jpg?auto=webp&fit=crop&height=48&width=85
The Grand Tour: One for the Road ,Sale,"Jeremy Clarkson, Richard Hammond, and James May set out for their final Grand Tour adventure after 22 years of doing what we all wish we could: driving expensive and odd cars and doing stupid stunts in locations all over the world. The final drive takes the trio — who got their start together on the incredibly popular series Top Gear — to Zimbabwe, where they get behind the wheels of a Lancia Montecarlo, a Ford Capri 3-litre, and a Triumph Stag. It might get emotional! [Trailer]",sephora Calendar,No,Public,0,2024-09-13,2024-09-14,,https://www.tvguide.com/news/new-on-amazon-prime-video/,https://www.tvguide.com/a/img/resize/43877f08ab7e8fc0a3858a2776080bcb26ea5e14/hub/2023/12/20/7e98d27d-c29c-46e0-ad3f-b9ff5ebd3bba/recaherr.jpg?auto=webp&fit=crop&height=48&width=85
A Very Royal Scandal ,Sale,"If you watched Scoop, the Netflix film based on the infamous 2019 BBC interview of Prince Andrew by Emily Maitlis regarding his connection to Jeffrey Epstein, and thought, ""I'd like a show about that, please,"" then good news! Prime Video's A Very Royal Scandal, from the same team that delivered A Very British Scandal and A Very English Scandal, is coming. This time, Maitlis is played by Ruth Wilson and Prince Andrew is played by Michael Sheen.",sephora Calendar,No,Public,0,2024-09-19,2024-09-20,,https://www.tvguide.com/news/new-on-amazon-prime-video/,https://www.tvguide.com/a/img/resize/def22a8c373bde95151328c00000be26db485374/hub/2024/07/12/85e1b04d-402f-422c-8cda-c6d54ebb6213/bear-e301-still018.jpg?auto=webp&fit=crop&height=48&width=85
,Sale,"Snack Shack (2024)
The American Society of Magical Negroes (2024)",sephora Calendar,No,Public,0,2024-09-03,2024-09-04,,https://www.tvguide.com/news/new-on-amazon-prime-video/,https://www.tvguide.com/a/img/resize/4086b11fa83eeb3845fb784037665dce4f2a65e9/hub/2024/09/11/43d52fff-0df4-4881-a070-00e3991125b9/tablet.jpg?auto=webp&fit=crop&height=48&width=85
,Sale,WNBA on Prime Video (2024),sephora Calendar,No,Public,0,2024-09-05,2024-09-06,,https://www.tvguide.com/news/new-on-amazon-prime-video/,https://www.tvguide.com/a/img/resize/f90e0fa90a210d2b8b04954fa0e397e9d9d4bf2b/hub/2024/09/04/db3feb31-ef8b-4ed6-9abf-dd67ee7db346/hpset.jpg?auto=webp&fit=crop&height=48&width=85
,Sale,"Thursday Night Football (2024)
NWSL on Prime Video (2024)
ONE Fight Night on Prime Video (2024)",sephora Calendar,No,Public,0,2024-09-06,2024-09-07,,https://www.tvguide.com/news/new-on-amazon-prime-video/,https://www.tvguide.com/a/img/resize/89f13aae7db1f55d53c14403c375563d58d55c8f/hub/2024/09/05/d6bacf16-f483-4c61-a935-4a0e7bef690b/htown.jpg?auto=webp&fit=crop&height=48&width=85
,Sale,The Money Game (2024),sephora Calendar,No,Public,0,2024-09-10,2024-09-11,,https://www.tvguide.com/news/new-on-amazon-prime-video/,https://www.tvguide.com/a/img/resize/38d0ad5a8790cdac1319c0ef1a9c3b0e499a650c/hub/2024/08/20/a4a67efd-2ea9-4dcb-ab38-51080ab00060/stephen.jpg?auto=webp&fit=crop&height=48&width=85
,Sale,Colette (2018),sephora Calendar,No,Public,0,2024-09-11,2024-09-12,,https://www.tvguide.com/news/new-on-amazon-prime-video/,https://www.tvguide.com/a/img/resize/780c692024f1076170fafbe12b51e57fe7457aff/hub/2024/01/19/26d046d8-ee36-418d-9633-e8a82dbb4065/240119-true-detective-1.jpg?auto=webp&fit=crop&height=48&width=85
,Sale,"Thursday Night Football (2024)
WNBA on Prime Video (2024)
Puss in Boots: The Last Wish (2022)
Around the World in 80 Days (2021) - Available on Freevee for free with ads",sephora Calendar,No,Public,0,2024-09-12,2024-09-13,,https://www.tvguide.com/news/new-on-amazon-prime-video/,https://www.tvguide.com/a/img/resize/39d2e7e4b1f814ce9bc81d8bdca3466d53a266f4/hub/2021/12/22/7f79b241-a045-48d6-a2e8-13ebe39ea76c/211222-sonsofanarchy.jpg?auto=webp&fit=crop&height=48&width=85
,Sale,"NWSL on Prime Video (2024)
Spark: A Space Tail (2016) - Available on Freevee for free with ads
The Grand Tour: One for the Road (2024)",sephora Calendar,No,Public,0,2024-09-13,2024-09-14,,https://www.tvguide.com/news/new-on-amazon-prime-video/,https://www.tvguide.com/a/img/resize/3559a02d0f9ee78edc84aa243ec28623a0a0a4ea/hub/2023/12/14/8438a5ff-ba4a-41a7-951f-842fafaa0856/perc.jpg?auto=webp&fit=crop&height=48&width=85
