Event Name,Event Type,Event Description,Calendar,All Day,Public/Private,Reported Count,Start Date,End Date,Image URL,Created By,URL
The Casting of Frank Stone,Sale,No content found,sephora Calendar,No,Public,0,September 3,10-09-2024,No Image URL Found,,No URL found
Harry Potter: Quidditch Champions,Sale,"Harry Potter: Quidditch Championsis a brand-newHarry Pottervideo game based on the fictional sport from the franchise. Quidditch is a Wizarding World sport where contestants fly on brooms and attempt to catch the elusive Golden Snitch. It's featured prominently in theHarry Potterbooks and movies, but it was unfortunately absent from the recently releasedopen worldHarry Potteraction-RPGHogwarts Legacy.",sephora Calendar,No,Public,0,September 3,10-09-2024,https://static0.gamerantimages.com/wordpress/wp-content/uploads/2023/04/harry-potter-quidditch-golden-snitch.jpg,,https://gamerant.com/harry-potter-quidditch-champions-game-online-multiplayer/
Parcel Corps,Sale,No content found,sephora Calendar,No,Public,0,September 3,10-09-2024,No Image URL Found,,No URL found
Gimmick! 2,Sale,No content found,sephora Calendar,No,Public,0,September 5,12-09-2024,No Image URL Found,,No URL found
Girl Genius: Adventures in Castle Heterodyne,Sale,No content found,sephora Calendar,No,Public,0,September 5,12-09-2024,No Image URL Found,,No URL found
The Holy Gosh Darn,Sale,No content found,sephora Calendar,No,Public,0,September 5,12-09-2024,No Image URL Found,,No URL found
Let's Play! Oink Games,Sale,No content found,sephora Calendar,No,Public,0,September 5,12-09-2024,No Image URL Found,,No URL found
Paper Ghost Stories: Third Eye Open,Sale,No content found,sephora Calendar,No,Public,0,September 5,12-09-2024,No Image URL Found,,No URL found
Shogun Showdown,Sale,No content found,sephora Calendar,No,Public,0,September 5,12-09-2024,No Image URL Found,,No URL found
Aero The Acro-Bat 2,Sale,No content found,sephora Calendar,No,Public,0,September 6,13-09-2024,No Image URL Found,,No URL found
