Event Name,Event Type,Event Description,Calendar,All Day,Public/Private,Reported Count,Start Date,End Date,Image URL,Created By,URL
The best new HBO and Max movies and shows in September,Sale,Max streams all HBO shows and movies when they debut on HBO. But not all shows and movies on Max make it to HBO. We'll designate Max exclusives where appropriate.,sephora Calendar,No,Public,0,06-09-2024,13-09-2024,https://www.tvguide.com/a/img/resize/107a0bfbc21c31255cdc763fc4ebc2d2fc73dedf/hub/2024/08/22/6d13992a-7a8d-4079-953a-fe7ab354bece/colin-farrell.jpg?auto=webp&width=1092,,https://www.tvguide.com/news/new-on-max-hbo/
The Boy and the Heron,Sale,"The 2024 winner for the Academy Award for Best Animated Feature is this Hayao Miyazaki-directed, Studio Ghibli-produced adventure about a young boy who enters a fantastical world in search of his mother. The cast of the English dub features the voices of Christian Bale, Dave Bautista, Gemma Chan, Willem Dafoe, Robert Pattinson, and Florence Pugh. -Allison Picurro [Trailer]",sephora Calendar,No,Public,0,13-09-2024,20-09-2024,https://www.tvguide.com/a/img/resize/107a0bfbc21c31255cdc763fc4ebc2d2fc73dedf/hub/2024/08/22/6d13992a-7a8d-4079-953a-fe7ab354bece/colin-farrell.jpg?auto=webp&width=1092,,https://www.tvguide.com/news/new-on-max-hbo/
Civil War,Sale,"Alex Garland directs A24's most expensive film to date (it had a budget of $50 million), which follows a team of war journalists living in a dystopian future America who embark on a dangerous road trip across the country to reach Washington D.C. to interview the president before rebel factions descend upon the White House. -Allison Picurro [Trailer]",sephora Calendar,No,Public,0,19-09-2024,26-09-2024,https://www.tvguide.com/a/img/resize/107a0bfbc21c31255cdc763fc4ebc2d2fc73dedf/hub/2024/08/22/6d13992a-7a8d-4079-953a-fe7ab354bece/colin-farrell.jpg?auto=webp&width=1092,,https://www.tvguide.com/news/new-on-max-hbo/
The Penguin,Sale,"Releasing a DC TV show the day after a Marvel show is a choice, but HBO is banking on one of Batman's most famous villains to steal some of Agatha All Along's magic. Colin Farrell reprises his role as Oz Cobb/The Penguin from 2022's The Batman, showing some layers to the character with Batman not hogging the screen all the time. In case you care: The Penguin is not expected to be part of James Gunn's new extended DC universe, however. Here's everything we know about The Penguin. -Tim Surette [Trailer]",sephora Calendar,No,Public,0,,,https://www.tvguide.com/a/img/resize/107a0bfbc21c31255cdc763fc4ebc2d2fc73dedf/hub/2024/08/22/6d13992a-7a8d-4079-953a-fe7ab354bece/colin-farrell.jpg?auto=webp&width=1092,,https://www.tvguide.com/news/new-on-max-hbo/
,Sale,"Bellator: Fight Week San Jose
Born Evil: The Serial Killer and The Savior, Season 1 (ID)
Drive My Car (2021)
Margarita, Season 1 (Max Original)
Mini Beat Power Rockers (2023)",sephora Calendar,No,Public,0,02-09-2024,09-09-2024,,,https://www.tvguide.com/news/new-on-max-hbo/
,Sale,"Bargain Block, Season 4 (HGTV)
How (Not) To Get Rid of a Body, Season 1 (ID)
Mecum Full Throttle: Monterey CA 2024
Unsellable Houses, Season 5 (HGTV)",sephora Calendar,No,Public,0,04-09-2024,11-09-2024,,,https://www.tvguide.com/news/new-on-max-hbo/
,Sale,Coming From America (Max Original),sephora Calendar,No,Public,0,05-09-2024,12-09-2024,,,https://www.tvguide.com/news/new-on-max-hbo/
,Sale,"The Boy and the Heron (Studio Ghibli)
Restoring Galveston, Season 6 (Magnolia Network)",sephora Calendar,No,Public,0,06-09-2024,13-09-2024,,,https://www.tvguide.com/news/new-on-max-hbo/
,Sale,"Family Empire: Houston (OWN)
WISE GUY David Chase and the Sopranos (HBO Original)",sephora Calendar,No,Public,0,07-09-2024,14-09-2024,,,https://www.tvguide.com/news/new-on-max-hbo/
,Sale,"Triple 9 (2016)
Love & Marriage: Huntsville (OWN)",sephora Calendar,No,Public,0,08-09-2024,15-09-2024,,,https://www.tvguide.com/news/new-on-max-hbo/
