Image URL,Event Name,Event Type,Event Description,Calendar,All Day,Public/Private,Reported Count,Start Date,End Date
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/AppBonanza/2024-08-26-im-app-week-site-beauty-offers-banner-1000x750-patrick-ta-can-en.jpg?imwidth=240,App Early Access,Sale,"Today only! Get exclusive access to Patrick Ta favourites—only on the App.
App only 
Exclusions/terms apply.

LAST DAY",sephora Calendar,No,Public,0,,8/26/2024
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/AppBonanza/2024-08-25-im-app-week-site-beauty-offers-banner-1000x750-fenty-can-en.jpg?imwidth=240,Free Fenty Trial Size,Sale,"Be the first to try Fenty The Hair Comeback Kid with minimum spend. 
Free with $30 purchase.
Beauty Insider members only.

Exclusions/terms apply.",sephora Calendar,No,Public,0,,2024-09-02
https://www.sephora.com/contentimages/happening/experienceimage.jpg,New Beauty Insider Challenge,Sale,"Earn 100 points for each task and an additional 100 points for completing all four tasks.
With $25 purchase on the APP.
App only 

App Exclusive",sephora Calendar,No,Public,0,,10/23/2024
https://www.sephora.com/contentimages/happening/experienceimage.jpg,"Spend More, Get More",Sale,"Choose 1, 2, or 3 trial sizes. Free with $30, $55, or $80 purchase.
Beauty Insider members only.
App only

App Exclusive",sephora Calendar,No,Public,0,,2024-09-02
https://www.sephora.com/contentimages/happening/experienceimage.jpg,9 Days of App of Deals Is Here,Sale,"You won’t want to miss these one-day deals! Only on the Sephora App.
App only 
Exclusions/terms apply.

2 DAYS LEFT",sephora Calendar,No,Public,0,,8/28/2024
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/2024-1-14-biossance-300-point-reward-site-app-home-page-content-card-en-us-can.jpg?imwidth=240,Exclusive Biossance Set,Sale,"Try these hydrating minis.
Beauty Insider members only.
In store & online 

Redeem Now",sephora Calendar,No,Public,0,,8/26/2024
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/2024-08-bi-gamification-Q3-site-beauty-offers-banner-1000x750-us-can-shared.jpg?imwidth=240,A New Beauty Insider Challenge Is Here!,Sale,"Complete tasks and earn up to 500 points.
Beauty Insider members only.
Online only 

Join Challenge",sephora Calendar,No,Public,0,,10/23/2024
https://www.sephora.com/contentimages/happening/experienceimage.jpg,Get 30% off a Beautyblender,Sale,"Buy any foundation or concealer and save on the original sponge. 
In store & online 
Exclusions/terms apply. 

Shop Now",sephora Calendar,No,Public,0,,8/26/2024
https://www.sephora.com/contentimages/happening/experienceimage.jpg,Get 4X Points,Sale,"on ALL Kosas complexion products.
Beauty Insider members only.
In store & online 

Apply",sephora Calendar,No,Public,0,,8/28/2024
https://www.sephora.com/contentimages/promo/bpme/2024/August/2024-8-22-august-bpme-site-desktop-mobile-app-beauty-offers-page-banner-sc-en-us-can.jpg?imwidth=240,Get 5X Points,Sale,"on ALL Sephora Collection.
Beauty Insider members only.
In store & online 

Apply",sephora Calendar,No,Public,0,,8/28/2024
https://www.sephora.com/contentimages/happening/experienceimage.jpg,Get 4X Points,Sale,"on ALL Dermalogica—only on the app.
Beauty Insider members only.
App only 

Download App",sephora Calendar,No,Public,0,,8/28/2024
https://www.sephora.com/contentimages/happening/experienceimage.jpg,Your Rewards Are Waiting,Sale,"Head to Rewards Bazaar to see what your points can get you.
Beauty Insider members only.
In store & online 

Redeem Now",sephora Calendar,No,Public,0,,8/31/2024
https://www.sephora.com/contentimages/promo/beautyoffers/2024/April/2024-04-16-auto-replenishment-der-a-site-desktop-mobile-app-beauty-offers-banner-general-us-can-final.jpg?imwidth=240,Save 5% with Auto-Replenish,Sale,"Never run out of your go-to beauty with subscription delivery.
Online only
Terms apply.

See details",sephora Calendar,No,Public,0,,2024-09-02
https://www.sephora.com/contentimages/promo/beautyoffers/2023/September/2023-07-03-omni-convenience-optimizations-site-beauty-offers-page-banner-same-day-delivery-us-can-final.jpg?imwidth=240,Try Same-Day Unlimited FREE for 30 Days ,Sale,"The subscription that delivers your beauty in as little as 2 hours—every time you shop. 
Beauty Insider members only.
Terms apply. 

",sephora Calendar,No,Public,0,,2024-09-02
https://www.sephora.com/contentimages/promo/beautyoffers/2024/April/2023-05-01-SMS-Acquisition-Promo-site-beauty-offers-banner-1000x750-release-us-can.jpg?imwidth=240,Get 10% Off,Sale,"When you sign up for text updates as a new subscriber. Plus, never miss out on exclusive releases, events, and offers.
Beauty Insider members only.
In store & online 

Learn More",sephora Calendar,No,Public,0,,10/25/2024
https://www.sephora.com/contentimages/promo/freeship2021/2022-08-01-free-ship-site-beauty-offers-page-banner-us-can-final.jpg?imwidth=240,Beauty Insiders Get Free Shipping,Sale,"It’s fast, reliable, and applies to every order.
No code needed  Not a Beauty Insider member? 
Beauty Insider members only.

Join Here",sephora Calendar,No,Public,0,,2024-09-02
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/2024-08-25-slotting-promo-app-beauty-offers-banner-CAN-handoff.jpg?imwidth=240,Free Trial-Size Brow Wax,Sale,"Receive a Benefit Cosmetics brow pick in your choice of three shades. 
Free with $30 purchase. 
Beauty Insider members only.

Exclusions/terms apply. ",sephora Calendar,No,Public,0,,2024-09-02
https://www.sephora.com/contentimages/happening/experienceimage.jpg,Choose 1 of 2 Skincare Trial Sizes,Sale,"Find your new breakout-fighting fave. Use code CLEARSKIN.
Free with $30 purchase.
Beauty Insider members only.

Exclusions/terms apply.",sephora Calendar,No,Public,0,,2024-09-02
https://www.sephora.com/contentimages/happening/experienceimage.jpg,Choose a Free Trial Size ,Sale,"Get body care or skincare from Charlotte Tilbury, Isle of Paradise, or The INKEY List
Free with $30 purchase. 
Beauty Insider members only.

Exclusions/terms apply. ",sephora Calendar,No,Public,0,,2024-09-02
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/2024-08-20-slotting-baar-site-beauty-offers-banner-1000x750-english-US-CAN-handoff.jpg?imwidth=240,Auto-Replenish Hot Deal ,Sale,"Get 10% off select Sol de Janeiro subscription deliveries. 
Limited Time Only
Beauty Insider members only.

Terms apply.",sephora Calendar,No,Public,0,,9/15/2024
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/2024-07-15-slotting-baar-site-beauty-offers-banner-farmacy-1000x750-english-CAN-noflag.jpg?imwidth=240,Auto-Replenish Hot Deal,Sale,"Get 10% off select Farmacy subscription deliveries.
Limited Time Only
Beauty Insider members only.

Terms apply.",sephora Calendar,No,Public,0,,8/29/2024
https://www.sephora.com/contentimages/happening/experienceimage.jpg,Get 4X Points,Sale,"on ALL Dermalogica—only on the app.
Beauty Insider members only.
App only 

Download App",sephora Calendar,No,Public,0,,8/28/2024
